[Header]
LogId=4
InstrumentId=1
Time=04/09/2024 11:02:33
InstrumentFirmware=V5.01
Latitude=43.818300
Longitude=15.246600
SvWaterThreshold=0.000000
CndWaterThreshold=0.000000
PrsWaterThreshold=0.000000
SoundInc=0.000000
UsePressureOffset=False
BatteryShutdownVoltage=0.00
BatteryWarningVoltage=0.00
Filename=026051_2024-09-04_11-02-33.csv
IsNew=False
HasErrors=False
IsInDesignMode=False
[MeasurementMetadata]
Columns=Date,Time,Conductivity,Temperature,Pressure,Battery,Salinity,Density,SVCalculated,Depth
Units=yyyy-mm-dd,hh:mm:ss.ss,mS/cm,°C,dBar,V,PSU,kg/cm^3,mS/cm,m
[MeasurementData]
2024-09-04,11:03:20.02,55.162000000,22.920000000,11.030000000,8.070000000,38.306000000,1026.515000000,1533.050000000,10.940000000
2024-09-04,11:03:20.52,55.138000000,22.895000000,11.090000000,8.070000000,38.309000000,1026.524000000,1532.990000000,11.000000000
2024-09-04,11:03:21.02,55.103000000,22.879000000,11.060000000,8.100000000,38.295000000,1026.518000000,1532.940000000,10.970000000
2024-09-04,11:03:21.52,55.099000000,22.866000000,11.120000000,8.100000000,38.304000000,1026.529000000,1532.910000000,11.030000000
2024-09-04,11:03:22.02,54.980000000,22.746000000,11.340000000,8.070000000,38.316000000,1026.574000000,1532.620000000,11.250000000
2024-09-04,11:03:22.52,54.980000000,22.747000000,11.410000000,8.070000000,38.314000000,1026.573000000,1532.630000000,11.320000000
2024-09-04,11:03:23.02,54.956000000,22.733000000,11.370000000,8.100000000,38.308000000,1026.572000000,1532.590000000,11.280000000
2024-09-04,11:03:23.52,54.939000000,22.708000000,11.390000000,8.100000000,38.317000000,1026.586000000,1532.530000000,11.300000000
2024-09-04,11:03:24.02,54.813000000,22.582000000,11.530000000,8.100000000,38.328000000,1026.632000000,1532.220000000,11.440000000
2024-09-04,11:03:24.52,54.581000000,22.336000000,11.730000000,8.100000000,38.362000000,1026.729000000,1531.630000000,11.640000000
2024-09-04,11:03:25.02,54.479000000,22.294000000,11.930000000,8.100000000,38.317000000,1026.708000000,1531.480000000,11.830000000
